iter	Passed	Remaining
0	105	105833
1	116	58373
2	124	41489
3	132	32870
4	139	27828
5	147	24410
6	154	21942
7	162	20128
8	171	18860
9	180	17845
10	188	16949
11	196	16162
12	204	15554
13	213	15010
14	220	14506
15	228	14081
16	236	13675
17	244	13330
18	253	13085
19	261	12836
20	269	12557
21	277	12323
22	284	12104
23	292	11909
24	301	11756
25	310	11615
26	318	11475
27	326	11327
28	333	11154
29	340	10995
30	347	10877
31	355	10756
32	363	10655
33	371	10555
34	379	10470
35	387	10374
36	395	10282
37	402	10199
38	410	10107
39	418	10034
40	424	9940
41	432	9864
42	440	9792
43	447	9727
44	455	9667
45	463	9607
46	470	9549
47	478	9494
48	486	9445
49	494	9393
50	502	9342
51	510	9301
52	518	9256
53	526	9215
54	533	9168
55	541	9123
56	548	9080
57	556	9041
58	564	8999
59	571	8959
60	579	8920
61	586	8879
62	594	8842
63	602	8806
64	609	8773
65	617	8741
66	625	8708
67	632	8673
68	640	8641
69	648	8610
70	655	8582
71	663	8554
72	671	8524
73	679	8498
74	686	8470
75	694	8441
76	702	8415
77	709	8389
78	717	8365
79	725	8342
80	733	8319
81	740	8295
82	748	8269
83	756	8248
84	764	8226
85	772	8209
86	780	8191
87	788	8168
88	795	8143
89	803	8124
90	811	8102
91	818	8081
92	826	8060
93	833	8038
94	841	8016
95	849	7996
96	856	7976
97	864	7954
98	871	7934
99	879	7916
100	887	7896
101	894	7876
102	901	7853
103	909	7836
104	917	7821
105	925	7803
106	932	7786
107	940	7766
108	947	7748
109	955	7733
110	963	7717
111	971	7699
112	979	7688
113	987	7671
114	994	7653
115	1001	7635
116	1009	7619
117	1017	7603
118	1024	7587
119	1032	7571
120	1040	7556
121	1047	7535
122	1055	7526
123	1063	7511
124	1070	7496
125	1078	7482
126	1086	7468
127	1093	7452
128	1101	7438
129	1110	7428
130	1117	7411
131	1123	7389
132	1130	7369
133	1137	7349
134	1144	7330
135	1152	7319
136	1160	7310
137	1168	7295
138	1175	7278
139	1181	7259
140	1188	7239
141	1195	7221
142	1201	7202
143	1209	7188
144	1215	7169
145	1222	7152
146	1231	7147
147	1239	7134
148	1246	7116
149	1252	7099
150	1259	7082
151	1266	7065
152	1274	7055
153	1281	7039
154	1288	7023
155	1295	7007
156	1302	6991
157	1309	6978
158	1316	6962
159	1323	6949
160	1330	6933
161	1337	6918
162	1344	6902
163	1351	6887
164	1358	6873
165	1364	6857
166	1371	6840
167	1377	6824
168	1384	6808
169	1391	6793
170	1398	6777
171	1404	6762
172	1411	6746
173	1418	6731
174	1424	6715
175	1431	6699
176	1437	6684
177	1444	6669
178	1451	6655
179	1457	6641
180	1464	6626
181	1471	6612
182	1477	6594
183	1483	6581
184	1490	6566
185	1497	6552
186	1504	6538
187	1511	6526
188	1518	6513
189	1524	6500
190	1531	6487
191	1538	6473
192	1545	6460
193	1551	6447
194	1558	6434
195	1565	6421
196	1571	6407
197	1578	6393
198	1585	6380
199	1591	6367
200	1599	6356
201	1605	6343
202	1612	6331
203	1619	6319
204	1625	6305
205	1632	6292
206	1639	6279
207	1645	6265
208	1652	6253
209	1658	6240
210	1665	6227
211	1672	6214
212	1678	6202
213	1685	6190
214	1692	6178
215	1698	6166
216	1705	6154
217	1712	6144
218	1719	6132
219	1726	6121
220	1733	6109
221	1739	6097
222	1746	6085
223	1753	6073
224	1759	6061
225	1766	6050
226	1773	6038
227	1780	6028
228	1787	6017
229	1793	6005
230	1800	5994
231	1807	5983
232	1814	5971
233	1820	5960
234	1827	5948
235	1833	5937
236	1840	5925
237	1847	5915
238	1854	5904
239	1860	5893
240	1867	5882
241	1874	5870
242	1881	5860
243	1887	5849
244	1894	5838
245	1901	5827
246	1908	5817
247	1915	5808
248	1922	5798
249	1929	5787
250	1935	5777
251	1942	5766
252	1949	5755
253	1956	5745
254	1962	5733
255	1969	5723
256	1975	5711
257	1982	5701
258	1988	5689
259	1995	5679
260	2002	5669
261	2008	5658
262	2015	5648
263	2022	5638
264	2028	5626
265	2035	5617
266	2042	5606
267	2049	5596
268	2055	5586
269	2062	5576
270	2068	5565
271	2075	5556
272	2082	5545
273	2089	5535
274	2096	5528
275	2104	5520
276	2112	5514
277	2120	5506
278	2128	5501
279	2137	5497
280	2146	5491
281	2154	5485
282	2162	5478
283	2170	5471
284	2178	5465
285	2186	5459
286	2194	5452
287	2202	5445
288	2210	5439
289	2218	5431
290	2226	5424
291	2234	5417
292	2241	5409
293	2249	5401
294	2257	5394
295	2265	5387
296	2273	5380
297	2280	5372
298	2288	5365
299	2296	5358
300	2304	5350
301	2312	5344
302	2320	5337
303	2329	5332
304	2338	5327
305	2346	5321
306	2355	5317
307	2367	5318
308	2377	5317
309	2388	5315
310	2396	5309
311	2407	5308
312	2423	5319
313	2434	5317
314	2444	5315
315	2455	5314
316	2464	5310
317	2474	5307
318	2484	5304
319	2493	5299
320	2502	5293
321	2511	5288
322	2522	5287
323	2531	5281
324	2541	5277
325	2549	5271
326	2560	5269
327	2569	5265
328	2579	5260
329	2588	5255
330	2597	5249
331	2606	5244
332	2616	5240
333	2625	5235
334	2635	5231
335	2644	5226
336	2653	5220
337	2661	5212
338	2670	5206
339	2678	5199
340	2687	5193
341	2697	5188
342	2706	5184
343	2715	5178
344	2723	5170
345	2732	5164
346	2740	5157
347	2749	5152
348	2757	5144
349	2766	5137
350	2774	5129
351	2782	5121
352	2789	5113
353	2797	5105
354	2805	5097
355	2814	5090
356	2821	5082
357	2831	5077
358	2840	5071
359	2848	5064
360	2856	5056
361	2865	5049
362	2872	5041
363	2880	5033
364	2888	5025
365	2896	5017
366	2904	5009
367	2912	5001
368	2920	4994
369	2928	4986
370	2936	4979
371	2945	4971
372	2952	4963
373	2960	4955
374	2968	4946
375	2976	4939
376	2983	4930
377	2991	4923
378	2999	4915
379	3007	4907
380	3015	4898
381	3023	4890
382	3030	4882
383	3038	4874
384	3046	4866
385	3053	4857
386	3061	4848
387	3068	4840
388	3076	4832
389	3084	4823
390	3091	4815
391	3099	4807
392	3107	4799
393	3116	4793
394	3126	4788
395	3134	4780
396	3142	4772
397	3151	4766
398	3159	4759
399	3167	4751
400	3174	4741
401	3181	4732
402	3188	4723
403	3196	4715
404	3204	4708
405	3212	4700
406	3219	4691
407	3226	4682
408	3233	4672
409	3240	4663
410	3247	4654
411	3254	4644
412	3261	4635
413	3268	4626
414	3275	4617
415	3282	4607
416	3288	4598
417	3295	4588
418	3302	4579
419	3309	4569
420	3315	4560
421	3323	4551
422	3330	4542
423	3337	4533
424	3345	4526
425	3352	4517
426	3359	4507
427	3365	4498
428	3372	4489
429	3379	4479
430	3386	4470
431	3393	4461
432	3400	4452
433	3407	4443
434	3414	4434
435	3421	4426
436	3430	4419
437	3439	4413
438	3448	4406
439	3457	4400
440	3467	4394
441	3475	4387
442	3484	4381
443	3492	4373
444	3502	4368
445	3512	4363
446	3520	4355
447	3527	4346
448	3535	4338
449	3542	4330
450	3549	4321
451	3556	4312
452	3564	4303
453	3570	4294
454	3577	4285
455	3584	4276
456	3591	4266
457	3598	4258
458	3606	4250
459	3614	4242
460	3621	4233
461	3628	4225
462	3635	4216
463	3642	4207
464	3649	4198
465	3656	4189
466	3663	4181
467	3671	4173
468	3679	4166
469	3688	4159
470	3696	4151
471	3703	4142
472	3711	4134
473	3718	4126
474	3725	4118
475	3732	4108
476	3738	4099
477	3746	4091
478	3754	4084
479	3763	4077
480	3771	4069
481	3779	4061
482	3786	4053
483	3794	4045
484	3801	4036
485	3808	4027
486	3815	4019
487	3824	4012
488	3831	4004
489	3840	3997
490	3848	3990
491	3857	3983
492	3865	3975
493	3872	3966
494	3880	3958
495	3888	3950
496	3895	3942
497	3904	3935
498	3912	3927
499	3920	3920
500	3929	3914
501	3937	3906
502	3945	3898
503	3953	3890
504	3960	3882
505	3967	3873
506	3974	3864
507	3981	3856
508	3988	3847
509	3995	3838
510	4002	3829
511	4008	3821
512	4015	3811
513	4022	3803
514	4028	3794
515	4036	3786
516	4043	3777
517	4050	3769
518	4057	3760
519	4063	3751
520	4071	3743
521	4080	3736
522	4088	3728
523	4096	3720
524	4103	3712
525	4110	3704
526	4119	3697
527	4126	3688
528	4132	3679
529	4139	3671
530	4146	3662
531	4154	3654
532	4162	3646
533	4170	3639
534	4177	3631
535	4186	3623
536	4194	3616
537	4201	3608
538	4209	3600
539	4217	3593
540	4225	3585
541	4233	3577
542	4241	3569
543	4248	3561
544	4256	3553
545	4264	3545
546	4272	3538
547	4280	3530
548	4288	3523
549	4296	3515
550	4304	3507
551	4312	3499
552	4320	3492
553	4328	3484
554	4336	3477
555	4344	3469
556	4352	3461
557	4359	3453
558	4367	3445
559	4374	3436
560	4381	3428
561	4389	3420
562	4397	3413
563	4405	3405
564	4412	3397
565	4420	3389
566	4428	3381
567	4435	3373
568	4443	3365
569	4451	3357
570	4458	3350
571	4466	3341
572	4473	3333
573	4481	3326
574	4488	3317
575	4496	3309
576	4504	3302
577	4512	3294
578	4520	3286
579	4527	3278
580	4535	3270
581	4543	3263
582	4550	3255
583	4558	3247
584	4566	3239
585	4574	3231
586	4582	3223
587	4591	3217
588	4600	3210
589	4609	3203
590	4620	3197
591	4629	3190
592	4638	3183
593	4647	3176
594	4656	3169
595	4665	3162
596	4674	3155
597	4682	3147
598	4691	3140
599	4699	3133
600	4708	3126
601	4717	3118
602	4727	3112
603	4735	3104
604	4745	3098
605	4755	3091
606	4763	3084
607	4772	3076
608	4779	3068
609	4786	3060
610	4794	3052
611	4802	3044
612	4809	3036
613	4817	3028
614	4825	3020
615	4832	3012
616	4840	3004
617	4849	2997
618	4856	2989
619	4864	2981
620	4872	2973
621	4880	2965
622	4887	2957
623	4895	2949
624	4903	2942
625	4910	2934
626	4919	2926
627	4928	2919
628	4936	2911
629	4945	2904
630	4956	2898
631	4964	2890
632	4973	2883
633	4981	2875
634	4990	2868
635	4998	2860
636	5005	2852
637	5013	2844
638	5021	2836
639	5029	2828
640	5037	2821
641	5045	2813
642	5052	2805
643	5060	2797
644	5068	2789
645	5077	2782
646	5086	2775
647	5094	2767
648	5102	2759
649	5110	2751
650	5119	2744
651	5127	2736
652	5135	2728
653	5143	2721
654	5151	2713
655	5159	2705
656	5167	2697
657	5174	2689
658	5182	2681
659	5188	2673
660	5195	2664
661	5202	2656
662	5209	2647
663	5217	2640
664	5225	2632
665	5233	2624
666	5241	2616
667	5248	2608
668	5256	2600
669	5264	2592
670	5271	2584
671	5280	2577
672	5286	2568
673	5293	2560
674	5300	2552
675	5307	2543
676	5314	2535
677	5321	2527
678	5329	2519
679	5336	2511
680	5343	2502
681	5350	2494
682	5357	2486
683	5365	2478
684	5373	2471
685	5380	2462
686	5388	2455
687	5395	2446
688	5402	2438
689	5410	2430
690	5418	2422
691	5426	2415
692	5433	2407
693	5441	2399
694	5447	2390
695	5454	2382
696	5461	2374
697	5468	2366
698	5475	2357
699	5482	2349
700	5489	2341
701	5495	2333
702	5502	2324
703	5509	2316
704	5516	2308
705	5523	2300
706	5531	2292
707	5539	2284
708	5550	2278
709	5560	2271
710	5570	2264
711	5580	2257
712	5591	2250
713	5600	2243
714	5610	2236
715	5617	2228
716	5624	2219
717	5631	2211
718	5638	2203
719	5645	2195
720	5654	2188
721	5663	2180
722	5670	2172
723	5677	2164
724	5684	2156
725	5691	2147
726	5697	2139
727	5705	2131
728	5712	2123
729	5719	2115
730	5727	2107
731	5734	2099
732	5741	2091
733	5747	2082
734	5754	2074
735	5761	2066
736	5768	2058
737	5775	2050
738	5782	2042
739	5789	2034
740	5795	2025
741	5802	2017
742	5809	2009
743	5816	2001
744	5822	1992
745	5829	1984
746	5836	1976
747	5843	1968
748	5850	1960
749	5858	1952
750	5865	1944
751	5871	1936
752	5879	1928
753	5886	1920
754	5892	1912
755	5899	1903
756	5905	1895
757	5912	1887
758	5920	1880
759	5928	1872
760	5935	1864
761	5942	1856
762	5949	1848
763	5957	1840
764	5964	1832
765	5971	1824
766	5978	1816
767	5986	1808
768	5994	1800
769	6002	1792
770	6015	1786
771	6023	1778
772	6031	1771
773	6039	1763
774	6048	1755
775	6055	1747
776	6063	1740
777	6071	1732
778	6080	1725
779	6087	1716
780	6095	1709
781	6102	1701
782	6109	1693
783	6115	1684
784	6122	1676
785	6131	1669
786	6139	1661
787	6146	1653
788	6153	1645
789	6160	1637
790	6168	1629
791	6175	1621
792	6183	1614
793	6191	1606
794	6199	1598
795	6206	1590
796	6214	1582
797	6222	1575
798	6231	1567
799	6238	1559
800	6247	1552
801	6256	1544
802	6266	1537
803	6275	1529
804	6283	1522
805	6292	1514
806	6300	1506
807	6308	1499
808	6315	1491
809	6324	1483
810	6332	1475
811	6342	1468
812	6350	1460
813	6359	1453
814	6369	1445
815	6378	1438
816	6386	1430
817	6394	1422
818	6402	1414
819	6409	1407
820	6417	1399
821	6425	1391
822	6432	1383
823	6439	1375
824	6447	1367
825	6454	1359
826	6461	1351
827	6469	1343
828	6476	1335
829	6483	1327
830	6490	1320
831	6497	1312
832	6505	1304
833	6512	1296
834	6520	1288
835	6527	1280
836	6536	1273
837	6544	1265
838	6553	1257
839	6560	1249
840	6569	1242
841	6576	1234
842	6584	1226
843	6591	1218
844	6598	1210
845	6605	1202
846	6613	1194
847	6620	1186
848	6627	1178
849	6634	1170
850	6641	1162
851	6648	1154
852	6655	1147
853	6662	1139
854	6670	1131
855	6677	1123
856	6684	1115
857	6691	1107
858	6698	1099
859	6706	1091
860	6713	1083
861	6720	1075
862	6727	1067
863	6734	1060
864	6743	1052
865	6751	1044
866	6759	1036
867	6767	1029
868	6775	1021
869	6783	1013
870	6790	1005
871	6797	997
872	6804	989
873	6812	982
874	6820	974
875	6827	966
876	6834	958
877	6841	950
878	6847	942
879	6855	934
880	6862	926
881	6869	919
882	6876	911
883	6883	903
884	6890	895
885	6897	887
886	6904	879
887	6911	871
888	6918	863
889	6925	855
890	6933	848
891	6941	840
892	6949	832
893	6956	824
894	6965	817
895	6972	809
896	6980	801
897	6987	793
898	6994	785
899	7001	777
900	7009	770
901	7016	762
902	7022	754
903	7030	746
904	7037	738
905	7045	730
906	7052	723
907	7060	715
908	7067	707
909	7075	699
910	7082	691
911	7089	684
912	7096	676
913	7103	668
914	7111	660
915	7118	652
916	7125	644
917	7132	637
918	7139	629
919	7146	621
920	7153	613
921	7161	605
922	7168	598
923	7175	590
924	7182	582
925	7188	574
926	7194	566
927	7201	558
928	7207	550
929	7213	542
930	7220	535
931	7226	527
932	7232	519
933	7238	511
934	7244	503
935	7250	495
936	7256	487
937	7263	480
938	7269	472
939	7275	464
940	7281	456
941	7288	448
942	7294	440
943	7300	433
944	7306	425
945	7312	417
946	7319	409
947	7325	401
948	7333	394
949	7341	386
950	7348	378
951	7355	370
952	7363	363
953	7370	355
954	7376	347
955	7383	339
956	7389	332
957	7396	324
958	7402	316
959	7409	308
960	7415	300
961	7422	293
962	7428	285
963	7434	277
964	7440	269
965	7446	262
966	7452	254
967	7458	246
968	7465	238
969	7471	231
970	7477	223
971	7483	215
972	7489	207
973	7496	200
974	7502	192
975	7508	184
976	7514	176
977	7521	169
978	7527	161
979	7534	153
980	7542	146
981	7549	138
982	7556	130
983	7565	123
984	7573	115
985	7581	107
986	7589	99
987	7597	92
988	7603	84
989	7610	76
990	7616	69
991	7622	61
992	7629	53
993	7635	46
994	7641	38
995	7648	30
996	7654	23
997	7660	15
998	7666	7
999	7673	0
